"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 24 16:54:28 GMT 2023","Tue Jan 24 16:54:29 GMT 2023","1002","tests","test_ioc_queue","TestIocThread","","","test_thread_without_ioc",""
"passed","Tue Jan 24 16:54:23 GMT 2023","Tue Jan 24 16:54:25 GMT 2023","2007","tests","test_game_creation","TestGame","","","test_game_two_thread_soft_stop",""
"passed","Tue Jan 24 16:54:18 GMT 2023","Tue Jan 24 16:54:18 GMT 2023","0","tests","test_convert_json_to_operation","TestConvertJsonToOperation","","","test_init_without_thread",""
"passed","Tue Jan 24 16:54:49 GMT 2023","Tue Jan 24 16:54:52 GMT 2023","3007","tests","test_ioc_queue","TestIocThread","","","test_thread_ioc_hard_stop_with_command",""
"passed","Tue Jan 24 16:54:52 GMT 2023","Tue Jan 24 16:54:52 GMT 2023","1","tests","test_working_thread","TestWorkingThread","","","test_parallel_write_file_to_text",""
"passed","Tue Jan 24 16:54:18 GMT 2023","Tue Jan 24 16:54:18 GMT 2023","0","tests","test_command_without_mock","TestCommandWithoutMock","","","test_move",""
"passed","Tue Jan 24 16:54:31 GMT 2023","Tue Jan 24 16:54:33 GMT 2023","2005","tests","test_ioc_queue","TestIocThread","","","test_thread_ioc_soft_stop",""
"passed","Tue Jan 24 16:54:18 GMT 2023","Tue Jan 24 16:54:18 GMT 2023","1","tests","test_convert_json_to_operation","TestConvertJsonToOperation","","","test_init_thread",""
"passed","Tue Jan 24 16:54:18 GMT 2023","Tue Jan 24 16:54:18 GMT 2023","0","tests","test_command_without_mock","TestCommandWithoutMock","","","test_move_with_direction",""
"passed","Tue Jan 24 16:54:25 GMT 2023","Tue Jan 24 16:54:28 GMT 2023","2007","tests","test_game_creation","TestGame","","","test_game_two_thread_hard_stop",""
"passed","Tue Jan 24 16:54:52 GMT 2023","Tue Jan 24 16:54:52 GMT 2023","1","tests","test_scope","TestScope","","","test_ioc_register",""
"failed","Tue Jan 24 16:54:18 GMT 2023","Tue Jan 24 16:54:18 GMT 2023","2","tests","test_adapter","TestAdapter","","","test_generate_class_by_interface",""
"passed","Tue Jan 24 16:54:52 GMT 2023","Tue Jan 24 16:54:52 GMT 2023","0","tests","test_working_thread","TestWorkingThread","","","test_write_file_to_text",""
"passed","Tue Jan 24 16:54:33 GMT 2023","Tue Jan 24 16:54:49 GMT 2023","16030","tests","test_ioc_queue","TestIocThread","","","test_thread_ioc_soft_stop_with_command",""
"passed","Tue Jan 24 16:54:18 GMT 2023","Tue Jan 24 16:54:18 GMT 2023","1","tests","test_common","TestCommon","","","test_call_method_with_class_in_attrib",""
"passed","Tue Jan 24 16:54:18 GMT 2023","Tue Jan 24 16:54:18 GMT 2023","0","tests","test_command_without_mock","TestCommandWithoutMock","","","test_rotate",""
"passed","Tue Jan 24 16:54:29 GMT 2023","Tue Jan 24 16:54:31 GMT 2023","2005","tests","test_ioc_queue","TestIocThread","","","test_thread_ioc_hard_stop",""
"passed","Tue Jan 24 16:54:52 GMT 2023","Tue Jan 24 16:54:52 GMT 2023","0","tests","test_working_thread","TestWorkingThread","","","test_command_thread",""
"passed","Tue Jan 24 16:54:18 GMT 2023","Tue Jan 24 16:54:18 GMT 2023","1","tests","test_common","TestCommon","","","test_resolve",""
"passed","Tue Jan 24 16:54:52 GMT 2023","Tue Jan 24 16:54:52 GMT 2023","1","tests","test_scope","TestScope","","","test_register_exists_in_scope_by_default",""
"passed","Tue Jan 24 16:54:18 GMT 2023","Tue Jan 24 16:54:23 GMT 2023","5010","tests","test_game_creation","TestGame","","","test_game_one_thread",""
